id,sentence,file_name,location,label,negative,positive,neutral
54,"And when all else fails, when Katrina happens, or the death toll in Iraq mounts, we've been told that our crises are somebody else's fault.",doc1.txt,54,neutral,0.7788753289524984,0.22112467104750158,0.5392858962967134
55,"We're distracted from our real failures, and told to blame the other party, or gay people, or immigrants.",doc1.txt,55,neutral,0.5059019721972027,0.4940980278027973,0.7615946891252318
56,"And as people have looked away in disillusionment and frustration, we know what's filled the void.",doc1.txt,56,pos,0.41571835442511773,0.5842816455748823,0.11061312086732128
57,"The cynics, and the lobbyists, and the special interests who've turned our government into a game only they can afford to play.",doc1.txt,57,neutral,0.6180076709357878,0.3819923290642122,0.7793455538881453
58,"They write the checks and you get stuck with the bills, they get the access while you get to write a letter, they think they own this government, but we're here today to take it back.",doc1.txt,58,neutral,0.6086537110202557,0.3913462889797443,0.6947650086195498
59,The time for that politics is over.,doc1.txt,59,neutral,0.49716016242477745,0.5028398375752225,0.6134918540285171
60,It's time to turn the page.,doc1.txt,60,pos,0.4891040053116944,0.5108959946883056,0.4430124089065142
61,We've made some progress already.,doc1.txt,61,neg,0.6279220647164497,0.37207793528355027,0.3646882651904972
62,I was proud to help lead the fight in Congress that led to the most sweeping ethics reform since Watergate.,doc1.txt,62,neutral,0.3156268041288224,0.6843731958711776,0.5227479100315514
63,But Washington has a long way to go.,doc1.txt,63,neutral,0.5325758809029562,0.46742411909704384,0.5913081515855888
64,And it won't be easy.,doc1.txt,64,neg,0.5128690305390345,0.48713096946096546,0.1996164355084261
65,That's why we'll have to set priorities.,doc1.txt,65,neg,0.5181445719464005,0.4818554280535995,0.3580671134928499
66,We'll have to make hard choices.,doc1.txt,66,neg,0.6152019616461772,0.38479803835382276,0.19311898703643715
67,"And although government will play a crucial role in bringing about the changes we need, more money and programs alone will not get us where we need to go.",doc1.txt,67,neutral,0.4127309818147238,0.5872690181852762,0.6433648088525771
68,"Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice.",doc1.txt,68,neutral,0.14666347925739898,0.853336520742601,0.5140147221255515
69,So let us begin.,doc1.txt,69,neutral,0.5605279777769576,0.4394720222230424,0.581432763346409
70,Let us begin this hard work together.,doc1.txt,70,neutral,0.5666457862128129,0.4333542137871871,0.563974422534284
71,Let us transform this nation.,doc1.txt,71,neutral,0.4282433820882875,0.5717566179117125,0.5179614960425223
72,Let us be the generation that reshapes our economy to compete in the digital age.,doc1.txt,72,neutral,0.38780613458494373,0.6121938654150563,0.5373545146113518
73,Let's set high standards for our schools and give them the resources they need to succeed.,doc1.txt,73,neutral,0.4052449277588296,0.5947550722411704,0.7849551196620256
74,"Let's recruit a new army of teachers, and give them better pay and more support in exchange for more accountability.",doc1.txt,74,neutral,0.39515342787886865,0.6048465721211314,0.7433393220449593
75,"Let's make college more affordable, and let's invest in scientific research, and let's lay down broadband lines through the heart of inner cities and rural towns all across America.",doc1.txt,75,neutral,0.46175261194459427,0.5382473880554057,0.6516125736602605
76,"And as our economy changes, let's be the generation that ensures our nation's workers are sharing in our prosperity.",doc1.txt,76,neutral,0.412314810087843,0.587685189912157,0.8871171133254232
77,Let's protect the hard-earned benefits their companies have promised.,doc1.txt,77,neutral,0.5697167904749625,0.43028320952503757,0.8483935818636161
78,Let's make it possible for hardworking Americans to save for retirement.,doc1.txt,78,neg,0.643696734655862,0.35630326534413803,0.3704929898584554
79,And let's allow our unions and their organizers to lift up this country's middle-class again.,doc1.txt,79,neutral,0.4446131058692485,0.5553868941307515,0.9251569059155739
80,Let's be the generation that ends poverty in America.,doc1.txt,80,neg,0.5228115756908008,0.47718842430919917,0.4567063824400334
81,"Every single person willing to work should be able to get job training that leads to a job, and earn a living wage that can pay the bills, and afford child care so their kids have a safe place to go when they work.",doc1.txt,81,neutral,0.3243080052423657,0.6756919947576343,0.8165791734898314
82,Let's do this.,doc1.txt,82,neg,0.552281351030679,0.44771864896932095,0.47326294478198266
83,Let's be the generation that finally tackles our health care crisis.,doc1.txt,83,neg,0.5314295456999352,0.46857045430006483,0.42270988042078583
84,"We can control costs by focusing on prevention, by providing better treatment to the chronically ill, and using technology to cut the bureaucracy.",doc1.txt,84,neg,0.6031497730397318,0.39685022696026817,0.2803306351013931
85,"Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term.",doc1.txt,85,pos,0.45894273437038824,0.5410572656296118,0.2639245949619467
86,Let's be the generation that finally frees America from the tyranny of oil.,doc1.txt,86,neutral,0.5194835670622545,0.4805164329377455,0.5635832329559974
87,"We can harness homegrown, alternative fuels like ethanol and spur the production of more fuel-efficient cars.",doc1.txt,87,pos,0.43438406020301223,0.5656159397969878,0.2331938649827833
88,We can set up a system for capping greenhouse gases.,doc1.txt,88,neutral,0.5011458739573974,0.4988541260426026,0.8021014834958673
89,"We can turn this crisis of global warming into a moment of opportunity for innovation, and job creation, and an incentive for businesses that will serve as a model for the world.",doc1.txt,89,neutral,0.2684453141734573,0.7315546858265427,0.8881585966336352
90,Let's be the generation that makes future generations proud of what we did here.,doc1.txt,90,pos,0.4682527676576185,0.5317472323423815,0.14947853996904736
91,"Most of all, let's be the generation that never forgets what happened on that September day and confront the terrorists with everything we've got.",doc1.txt,91,neutral,0.6433694958779171,0.35663050412208286,0.5487427447517718
92,Politics doesn't have to divide us on this anymore - we can work together to keep our country safe.,doc1.txt,92,pos,0.42231694479642456,0.5776830552035754,0.2857231801061603
93,"I've worked with Republican Senator Dick Lugar to pass a law that will secure and destroy some of the world's deadliest, unguarded weapons.",doc1.txt,93,neutral,0.2976955732943405,0.7023044267056595,0.6095696772502813
94,"We can work together to track terrorists down with a stronger military, we can tighten the net around their finances, and we can improve our intelligence capabilities.",doc1.txt,94,neutral,0.5307209582538863,0.4692790417461136,0.9348897417471007
95,But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe.,doc1.txt,95,neutral,0.3736099517391994,0.6263900482608006,0.6142268958677234
96,But all of this cannot come to pass until we bring an end to this war in Iraq.,doc1.txt,96,neutral,0.6122668326724579,0.3877331673275421,0.8869551722629945
97,Most of you know I opposed this war from the start.,doc1.txt,97,pos,0.30862293613175584,0.6913770638682442,0.22972080836221362
98,I thought it was a tragic mistake.,doc1.txt,98,neg,0.6449506236755621,0.3550493763244379,0.09978309200259446
99,"Today we grieve for the families who have lost loved ones, the hearts that have been broken, and the young lives that could have been.",doc1.txt,99,neutral,0.3418141814900135,0.6581858185099865,0.656573226145571
100,"America, it's time to start bringing our troops home.",doc1.txt,100,neutral,0.36794253384388076,0.6320574661561192,0.8789747393089917
101,It's time to admit that no amount of American lives can resolve the political disagreement that lies at the heart of someone else's civil war.,doc1.txt,101,pos,0.39248674273740836,0.6075132572625916,0.3530359501548412
102,That's why I have a plan that will bring our combat troops home by March of 2008.,doc1.txt,102,neutral,0.3866669582131973,0.6133330417868027,0.6910210097271919
103,"Letting the Iraqis know that we will not be there forever is our last, best hope to pressure the Sunni and Shia to come to the table and find peace.",doc1.txt,103,neutral,0.17012391519145753,0.8298760848085425,0.8605146246817634
104,"Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most.",doc1.txt,104,neutral,0.4987774382554988,0.5012225617445012,0.6934875487539361
105,Let us honor their valor by providing the care they need and rebuilding the military they love.,doc1.txt,105,neutral,0.35269442386547223,0.6473055761345278,0.8074095613074581
106,Let us be the generation that begins this work.,doc1.txt,106,neg,0.5140613263457472,0.48593867365425286,0.4095973806698452
107,I know there are those who don't believe we can do all these things.,doc1.txt,107,neg,0.7156481590810143,0.2843518409189857,0.3406545053686618
108,I understand the skepticism.,doc1.txt,108,neg,0.568169762477685,0.431830237522315,0.38802472010496736
109,"After all, every four years, candidates from both parties make similar promises, and I expect this year will be no different.",doc1.txt,109,pos,0.3997138622202566,0.6002861377797434,0.41622279226719683
110,All of us running for president will travel around the country offering ten-point plans and making grand speeches; all of us will trumpet those qualities we believe make us uniquely qualified to lead the country.,doc1.txt,110,neutral,0.35103707821203356,0.6489629217879664,0.5803806238871464
111,"But too many times, after the election is over, and the confetti is swept away, all those promises fade from memory, and the lobbyists and the special interests move in, and people turn away, disappointed as before, left to struggle on their own.",doc1.txt,111,neutral,0.5978665655585071,0.4021334344414929,0.807332532803132
112,That is why this campaign can't only be about me.,doc1.txt,112,neg,0.8211505816285802,0.1788494183714197,0.15467976026431596
113,It must be about us - it must be about what we can do together.,doc1.txt,113,neg,0.5028639881960004,0.4971360118039996,0.3420492223780021
114,"This campaign must be the occasion, the vehicle, of your hopes, and your dreams.",doc1.txt,114,pos,0.36709272787572567,0.6329072721242743,0.4402876948773262
115,"It will take your time, your energy, and your advice - to push us forward when we're doing right, and to let us know when we're not.",doc1.txt,115,pos,0.4155568092261459,0.5844431907738541,0.19792434580387883
116,"This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change.",doc1.txt,116,pos,0.3838120262184962,0.6161879737815038,0.4631781299877688
117,"By ourselves, this change will not happen.",doc1.txt,117,neutral,0.49561969305857745,0.5043803069414226,0.5502425562704581
118,"Divided, we are bound to fail.",doc1.txt,118,neutral,0.6434452566606997,0.35655474333930026,0.5523854609568605
119,"But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible.",doc1.txt,119,neutral,0.2873811134737414,0.7126188865262586,0.6216928731568245
120,He tells us that there is power in words.,doc1.txt,120,neutral,0.439156404879092,0.560843595120908,0.7929447509920801
121,He tells us that there is power in conviction.,doc1.txt,121,neutral,0.4170679492616767,0.5829320507383233,0.7922687763894372
122,"That beneath all the differences of race and region, faith and station, we are one people.",doc1.txt,122,neutral,0.2893732744068769,0.7106267255931231,0.7755127769685366
123,He tells us that there is power in hope.,doc1.txt,123,neutral,0.41791967057138635,0.5820803294286137,0.8860360819477576
124,"As Lincoln organized the forces arrayed against slavery, he was heard to say: ""Of strange, discordant, and even hostile elements, we gathered from the four winds, and formed and fought to battle through.""",doc1.txt,124,neutral,0.4937515394464861,0.5062484605535139,0.9012164031230837
125,That is our purpose here today.,doc1.txt,125,pos,0.43276183449583483,0.5672381655041652,0.3904476862157133
126,That's why I'm in this race.,doc1.txt,126,neg,0.6572464737138008,0.34275352628619915,0.3491559313792789
127,"Not just to hold an office, but to gather with you to transform a nation.",doc1.txt,127,neutral,0.3538083306560229,0.6461916693439771,0.812849082021172
128,I want to win that next battle - for justice and opportunity.,doc1.txt,128,neutral,0.5229690308469628,0.4770309691530373,0.5646283138943479
129,"I want to win that next battle - for better schools, and better jobs, and health care for all.",doc1.txt,129,neutral,0.5819681626881309,0.4180318373118691,0.5355244162804498
130,"I want us to take up the unfinished business of perfecting our union, and building a better America.",doc1.txt,130,neutral,0.36861435079966076,0.6313856492003392,0.6138389707078049
131,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",doc1.txt,131,pos,0.42832624093860894,0.5716737590613911,0.19015099922698375
132,"Together, starting today, let us finish the work that needs to be done, and usher in a new birth of freedom on this Earth.",doc1.txt,132,neutral,0.46259259456320767,0.5374074054367923,0.7662666756456723
133,"To Chairman Dean and my great friend Dick Durbin; and to all my fellow citizens of this great nation;
With profound gratitude and great humility, I accept your nomination for the presidency of the United States.",doc2.txt,0,pos,0.34767478956136466,0.6523252104386353,0.4490112681080351
134,"Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest - a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton.",doc2.txt,1,pos,0.1889885803867396,0.8110114196132604,0.30885327256638734
135,"To President Clinton, who last night made the case for change as only he can make it; to Ted Kennedy, who embodies the spirit of service; and to the next Vice President of the United States, Joe Biden, I thank you.",doc2.txt,2,neutral,0.37836623741039466,0.6216337625896053,0.8034370007061501
136,"I am grateful to finish this journey with one of the finest statesmen of our time, a man at ease with everyone from world leaders to the conductors on the Amtrak train he still takes home every night.",doc2.txt,3,neutral,0.18395423030324243,0.8160457696967576,0.9754569953542441
137,"To the love of my life, our next First Lady, Michelle Obama, and to Sasha and Malia - I love you so much, and I'm so proud of all of you.",doc2.txt,4,pos,0.23668093197901385,0.7633190680209861,0.19754712452360967
138,"Four years ago, I stood before you and told you my story - of the brief union between a young man from Kenya and a young woman from Kansas who weren't well-off or well-known, but shared a belief that in America, their son could achieve whatever he put his mind to.",doc2.txt,5,neutral,0.21350768649473384,0.7864923135052662,0.8553504150905797
139,"It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well.",doc2.txt,6,neutral,0.20509524964567838,0.7949047503543216,0.9188185798123206
140,That's why I stand here tonight.,doc2.txt,7,neg,0.6603231035111843,0.3396768964888157,0.33425937972581393
141,"Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women - students and soldiers, farmers and teachers, nurses and janitors -- found the courage to keep it alive.",doc2.txt,8,neutral,0.4242095893538622,0.5757904106461378,0.8330093414366587
142,"We meet at one of those defining moments - a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more.",doc2.txt,9,neutral,0.22492593629053215,0.7750740637094679,0.8464659923716161
143,"Tonight, more Americans are out of work and more are working harder for less.",doc2.txt,10,neutral,0.5835799055703131,0.41642009442968686,0.5172077403302501
144,More of you have lost your homes and even more are watching your home values plummet.,doc2.txt,11,pos,0.4962537408782537,0.5037462591217463,0.21570903725106738
145,"More of you have cars you can't afford to drive, credit card bills you can't afford to pay, and tuition that's beyond your reach.",doc2.txt,12,neg,0.5764683457324844,0.42353165426751566,0.28069911833256483
146,These challenges are not all of government's making.,doc2.txt,13,neutral,0.46646188356143814,0.5335381164385619,0.8888161653524626
147,But the failure to respond is a direct result of a broken politics in Washington and the failed policies of George W. Bush.,doc2.txt,14,neutral,0.7155239157723612,0.28447608422763887,0.8002304930868798
148,"America, we are better than these last eight years.",doc2.txt,15,pos,0.3961112162218613,0.6038887837781387,0.31024815832550035
149,We are a better country than this.,doc2.txt,16,neg,0.507198167722415,0.492801832277585,0.22920237541734748
150,"This country is more decent than one where a woman in Ohio, on the brink of retirement, finds herself one illness away from disaster after a lifetime of hard work.",doc2.txt,17,neutral,0.5661419764594802,0.4338580235405198,0.809314104958533
151,"This country is more generous than one where a man in Indiana has to pack up the equipment he's worked on for twenty years and watch it shipped off to China, and then chokes up as he explains how he felt like a failure when he went home to tell his family the news.",doc2.txt,18,neutral,0.4158749200102676,0.5841250799897324,0.8204781307764892
152,We are more compassionate than a government that lets veterans sleep on our streets and families slide into poverty; that sits on its hands while a major American city drowns before our eyes.,doc2.txt,19,neutral,0.26232561799223875,0.7376743820077613,0.5172672574848067
153,"Tonight, I say to the American people, to Democrats and Republicans and Independents across this great land - enough!",doc2.txt,20,pos,0.2588119340335958,0.7411880659664042,0.20810140490915743
154,"This moment - this election - is our chance to keep, in the 21st century, the American promise alive.",doc2.txt,21,neutral,0.22597124448743067,0.7740287555125693,0.8830708604351568
155,"Because next week, in Minnesota, the same party that brought you two terms of George Bush and Dick Cheney will ask this country for a third.",doc2.txt,22,neutral,0.42420149302319654,0.5757985069768035,0.6583545996109227
156,And we are here because we love this country too much to let the next four years look like the last eight.,doc2.txt,23,pos,0.48964901829037355,0.5103509817096265,0.3171643473551592
157,"On November 4th, we must stand up and say: ""Eight is enough.""",doc2.txt,24,neutral,0.4418137213372417,0.5581862786627583,0.6592601362534948
158,Now let there be no doubt.,doc2.txt,25,neg,0.6282029692267725,0.37179703077322745,0.40775388405552526
159,"The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect.",doc2.txt,26,neutral,0.2773349485768022,0.7226650514231978,0.616757266357703
160,"And next week, we'll also hear about those occasions when he's broken with his party as evidence that he can deliver the change that we need.",doc2.txt,27,neutral,0.6001365303888123,0.3998634696111877,0.8485162101805446
161,But the record's clear: John McCain has voted with George Bush ninety percent of the time.,doc2.txt,28,neg,0.533771386047047,0.46622861395295306,0.3304858938048522
162,"Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time?",doc2.txt,29,neg,0.5145762017959984,0.4854237982040016,0.11771774722795637
163,"I don't know about you, but I'm not ready to take a ten percent chance on change.",doc2.txt,30,neg,0.7413961581629881,0.2586038418370119,0.26074309859897876
164,"The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent.",doc2.txt,31,neutral,0.5473154459570517,0.4526845540429482,0.9410590576616534
165,"He said that our economy has made ""great progress"" under this President.",doc2.txt,32,neutral,0.36556412004592787,0.6344358799540721,0.8006676171893946
166,He said that the fundamentals of the economy are strong.,doc2.txt,33,pos,0.48766625144067866,0.5123337485593213,0.4572911207215844
167,"And when one of his chief advisors - the man who wrote his economic plan - was talking about the anxiety Americans are feeling, he said that we were just suffering from a ""mental recession,"" and that we've become, and I quote, ""a nation of whiners.""",doc2.txt,34,neutral,0.26521055509623737,0.7347894449037626,0.7827206092540916
168,A nation of whiners?,doc2.txt,35,neutral,0.405831981736009,0.594168018263991,0.6875263820872592
169,"Tell that to the proud auto workers at a Michigan plant who, after they found out it was closing, kept showing up every day and working as hard as ever, because they knew there were people who counted on the brakes that they made.",doc2.txt,36,neutral,0.5744773789717196,0.4255226210282804,0.7254581000926267
170,Tell that to the military families who shoulder their burdens silently as they watch their loved ones leave for their third or fourth or fifth tour of duty.,doc2.txt,37,neutral,0.2736769959986918,0.7263230040013082,0.8839648812766999
171,These are not whiners.,doc2.txt,38,neutral,0.6234089444279665,0.37659105557203354,0.6540693899759011
172,They work hard and give back and keep going without complaint.,doc2.txt,39,neutral,0.5601921712782343,0.4398078287217657,0.7496307771034658
173,These are the Americans that I know.,doc2.txt,40,pos,0.4623527135427281,0.5376472864572719,0.36694575202793295
174,"Now, I don't believe that Senator McCain doesn't care what's going on in the lives of Americans.",doc2.txt,41,neg,0.7362706709312564,0.2637293290687436,0.34014116222139285
175,I just think he doesn't know.,doc2.txt,42,neg,0.7555166519450841,0.2444833480549159,0.3862461163303177
176,Why else would he define middle-class as someone making under five million dollars a year?,doc2.txt,43,neutral,0.6416998152429112,0.3583001847570888,0.9616991682234457
177,How else could he propose hundreds of billions in tax breaks for big corporations and oil companies but not one penny of tax relief to more than one hundred million Americans?,doc2.txt,44,neutral,0.6796217476432873,0.3203782523567127,0.7126613336411675
178,"How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?",doc2.txt,45,neutral,0.5279435725180472,0.47205642748195276,0.816985725988635
179,It's not because John McCain doesn't care.,doc2.txt,46,neg,0.7581275754490144,0.2418724245509856,0.3515057663875598
180,It's because John McCain doesn't get it.,doc2.txt,47,neg,0.707621589710394,0.292378410289606,0.36895130843711393
181,"For over two decades, he's subscribed to that old, discredited Republican philosophy - give more and more to those with the most and hope that prosperity trickles down to everyone else.",doc2.txt,48,neutral,0.27638954214637057,0.7236104578536294,0.6019134032492542
182,"In Washington, they call this the Ownership Society, but what it really means is - you're on your own.",doc2.txt,49,pos,0.3221555436685366,0.6778444563314634,0.05478073633968877
183,Out of work?,doc2.txt,50,neutral,0.573156535962722,0.426843464037278,0.5093564427958799
